building_id,corp_id,corp_name,body_name,type,output,active,exhausted
30294,30313,"Corix Industries","Kepler",Processing Facility,4,1,0
30295,30313,"Corix Industries","Kepler",Processing Facility,4,1,0
30296,30314,"Calyx Industries","Kepler",Extraction Site,375.755,1,0
30297,30314,"Calyx Industries","Kepler",Extraction Site,576.793,1,0
30298,30314,"Calyx Industries","Kepler",Extraction Site,147.754,1,0
30299,30315,"FararAthar Holdings","Kepler",Processing Facility,8,1,0
30300,30315,"FararAthar Holdings","Kepler",Processing Facility,8,1,0
30301,30315,"FararAthar Holdings","Kepler",Extraction Site,617.735,1,0
30302,30316,"CalonIntus-PaxisAthen Ventures","Kepler",Extraction Site,660.609,1,0
30303,30316,"CalonIntus-PaxisAthen Ventures","Kepler",Extraction Site,720.871,1,0
30304,30316,"CalonIntus-PaxisAthen Ventures","Kepler",Extraction Site,223.979,1,0
30305,30317,"Genom Systems","Kepler",Extraction Site,2451.16,1,0
30306,30317,"Genom Systems","Kepler",Extraction Site,1091.17,1,0
30307,30317,"Genom Systems","Kepler",Extraction Site,4020.97,1,0
30308,30318,"Terel-Coron Holdings","Kepler",Extraction Site,1747.88,1,0
30309,30318,"Terel-Coron Holdings","Kepler",Extraction Site,263.425,1,0
30310,30318,"Terel-Coron Holdings","Kepler",Extraction Site,343.167,1,0
