corp_id,name,focus,home_nation,balance,starting_capital,since_start,buildings
48690,"Faros-YelenKalen International",Extraction,"Rimere",1239.81,322.394,917.414,5
48691,"Exoar-Exoex Enterprises",Extraction,"Dikha",1865.88,274.486,1591.39,5
53530,"Henshi Logistics",Processing,"Henshim Kikhom",1058.27,0,1058.27,3
53338,"Nexos-Calel Logistics",Processing,"Teta",673.503,0,673.503,4
48692,"Corix Industries",Extraction,"Thathdailuth",1816.34,259.172,1557.17,5
48693,"Calyx Industries",Processing,"Kua Meho",599.418,598.093,1.32483,4
48694,"FararAthar Holdings",Extraction,"Henshim Kikhom",1061.75,387.515,674.233,7
53574,"Reheth Enterprises",Processing,"Reheth",-1076.07,0,-1076.07,5
53453,"DelexOrbex-Jorom Dynamics",Processing,"Shilmemel",654.971,0,654.971,4
48695,"CalonIntus-PaxisAthen Ventures",Extraction,"Kero",1845.67,357.494,1488.17,5
48696,"Genom Systems",Extraction,"Kemhinsom",2718.18,486.73,2231.45,3
48697,"Terel-Coron Holdings",Trade,"Muamtuakme Kemei",2142.1,623.37,1518.73,4
53516,"Zenix Ventures",Processing,"Kemhinsom",1215.76,0,1215.76,4
53323,"Nexis Logistics",Processing,"Rakkhua Ruzu",1770.41,0,1770.41,4
53390,"Zenus-Orbon Operations",Processing,"Sa Ruakthuk",847.194,0,847.194,6
53326,"Lukuk Resources",Processing,"Lukuk Shakasa",1347.98,0,1347.98,4
53457,"Terar Systems",Processing,"Mei Kokomo",170.444,0,170.444,4
53329,"YelorCalur Operations",Processing,"He Bereth",922.217,0,922.217,4
53523,"BororOrbar-Teror Processing Group",Processing,"Zumzummu",903.153,0,903.153,6
53332,"Orban-GenenOrbos Resources",Processing,"Tukaitai",1261.47,0,1261.47,3
53399,"Daini Holdings",Extraction,"Daini Sidi",-649.886,0,-649.886,5
53512,"Intel International",Processing,"Zeim Veimaimvei",709.145,0,709.145,5
53335,"HexyxCorix-CalosFaran Enterprises",Processing,"Das Dusdai",1898.93,0,1898.93,4
53342,"Veirai Enterprises",Processing,"Veiraimu Veivu",920.442,0,920.442,6
53410,"ExoorOrbus Systems",Processing,"Hishem Kikhom",1150.67,0,1150.67,3
53346,"BorosGenan-Zenom Industries",Processing,"Zeim Veimaimvei",1806.21,0,1806.21,4
53350,"Kemhin Systems",Extraction,"Kemhinsom",608.829,0,608.829,5
53355,"CoraxCoros Operations",Extraction,"Toro Motei",379.892,0,379.892,5
53360,"Zumzum Processing Group",Extraction,"Zumzummu",1345.19,0,1345.19,7
53429,"Thathd Dynamics",Extraction,"Thathdailuth",1139.32,0,1139.32,5
53365,"Kua Extraction Co.",Extraction,"Kua Meho",1677.73,0,1677.73,6
