corp_id,corp_name,body_id,body_name,resource,quantity
46799,"Exoar-Exoex Enterprises",15124,"Huhaidar",Iron Ore,48807.6
46799,"Exoar-Exoex Enterprises",15124,"Huhaidar",Copper Ore,15148.6
46800,"Corix Industries",15124,"Huhaidar",Iron Ore,90658.6
46801,"Calyx Industries",15124,"Huhaidar",Iron Ore,104795
46801,"Calyx Industries",15124,"Huhaidar",Agricultural Produce,21697.3
46801,"Calyx Industries",15124,"Huhaidar",Timber,860.581
46802,"FararAthar Holdings",15124,"Huhaidar",Iron Ore,31572.1
46802,"FararAthar Holdings",15124,"Huhaidar",Silica,6338.99
46802,"FararAthar Holdings",15124,"Huhaidar",Agricultural Produce,1998.4
46803,"CalonIntus-PaxisAthen Ventures",15124,"Huhaidar",Iron Ore,47018.1
46803,"CalonIntus-PaxisAthen Ventures",15124,"Huhaidar",Agricultural Produce,9350.92
46804,"Genom Systems",15124,"Huhaidar",Iron Ore,16
46805,"Terel-Coron Holdings",15124,"Huhaidar",Iron Ore,83886.4
51028,"YelorCalur Operations",15124,"Huhaidar",Iron Ore,354519
51031,"Orban-GenenOrbos Resources",15124,"Huhaidar",Water,0.793356
51035,"HexyxCorix-CalosFaran Enterprises",15124,"Huhaidar",Water,46864.7
51042,"Ruzumz Enterprises",15124,"Huhaidar",Iron Ore,283671
51042,"Ruzumz Enterprises",15124,"Huhaidar",Agricultural Produce,13100.4
51046,"BorosGenan-Zenom Industries",15124,"Huhaidar",Iron Ore,566176
51046,"BorosGenan-Zenom Industries",15124,"Huhaidar",Water,0.831952
51053,"CoraxCoros Operations",15124,"Huhaidar",Iron Ore,10574.2
51057,"Maikka Processing Group",15124,"Huhaidar",Iron Ore,601364
51061,"Tei Extraction Co.",15124,"Huhaidar",Petroleum,21008.6
51061,"Tei Extraction Co.",15124,"Huhaidar",Steel,8
51065,"Dynan Resources",15124,"Huhaidar",Copper Ore,18991.3
51065,"Dynan Resources",15124,"Huhaidar",Steel,8
51071,"JorenRexax Enterprises",15124,"Huhaidar",Iron Ore,181648
51071,"JorenRexax Enterprises",15124,"Huhaidar",Agricultural Produce,0.528904
51071,"JorenRexax Enterprises",15124,"Huhaidar",Water,0.793356
51075,"Rexar Dynamics",15124,"Huhaidar",Petroleum,30154.7
51075,"Rexar Dynamics",15124,"Huhaidar",Food Rations,1.58671
51082,"Zenus-Orbon Operations",15124,"Huhaidar",Iron Ore,9398.97
51086,"Roteit Logistics",15124,"Huhaidar",Iron Ore,393552
51090,"He Holdings",15124,"Huhaidar",Petroleum,14596.5
