total_ms,build_ms,submit_ms,present_ms,other_ms,work_ms,vertices,draw_cmds
62.7156,17.7958,9.1743,35.7126,0.0328979,27.003,81388,24
61.8907,17.8084,8.8471,35.2036,0.031601,26.6871,81942,24
62.5816,18.2441,8.8722,35.4321,0.0331993,27.1495,82246,24
67.3115,18.4505,12.1835,36.6433,0.0342026,30.6682,82942,24
64.3543,18.5239,9.465,36.332,0.0334015,28.0223,83444,24
64.8555,18.8799,9.649,36.2926,0.0339966,28.5629,84022,24
64.6507,18.3434,9.4829,36.7918,0.0326004,27.8589,84372,24
65.0138,19.1984,9.3468,36.4347,0.0338974,28.5791,84810,24
64.7842,18.777,9.5361,36.4397,0.0314026,28.3445,85296,24
64.1591,18.5709,9.3967,36.1601,0.0314026,27.999,85568,24
64.4131,18.5547,9.4886,36.3382,0.031601,28.0749,85908,24
64.9315,18.6507,9.8064,36.4416,0.0328064,28.4899,86424,24
68.9276,18.5163,9.9486,40.4293,0.0334015,28.4983,86794,24
65.2268,18.6481,9.9052,36.6415,0.0320053,28.5853,87878,24
65.624,18.6605,10.0002,36.9293,0.0340042,28.6947,88134,24
66.1515,18.9132,10.27,36.9345,0.0337906,29.217,88870,24
83.6066,26.4951,11.1191,45.9556,0.0367966,37.651,89510,24
70.5618,23.3837,10.0258,37.121,0.0312958,33.4408,90058,24
66.34,18.9275,10.2537,37.1269,0.0318985,29.2131,90180,24
65.9202,18.7778,10.1194,36.9861,0.0368958,28.9341,89902,24
66.0032,18.6086,10.2402,37.1221,0.0322952,28.8811,89884,24
67.3231,18.6739,10.7084,37.9071,0.0337067,29.416,89666,24
66.1383,18.6286,10.2374,37.2376,0.0346985,28.9007,89706,24
66.1173,18.6882,10.2255,37.1316,0.0719986,28.9857,89388,24
79.4622,31.5315,10.8597,37.0297,0.0412979,42.4325,88778,24
67.3253,19.9004,10.1356,37.2553,0.0339966,30.07,88538,24
66.2394,18.4821,10.5996,37.1238,0.033905,29.1156,88522,24
65.8724,18.5668,10.2174,37.0545,0.033699,28.8179,88520,24
65.9225,18.5658,10.2879,37.0339,0.0348969,28.8886,88080,24
79.2023,23.0276,18.7762,37.363,0.0355072,41.8393,87488,24
65.0723,18.6185,9.5907,36.832,0.031105,28.2403,87422,24
64.909,18.4628,9.5079,36.8942,0.0440979,28.0148,86898,24
68.0778,18.6706,9.739,39.6311,0.0370941,28.4467,86494,24
70.4402,20.5811,11.5435,38.2804,0.035202,32.1598,85868,24
68.7264,19.8347,10.5112,38.3444,0.0361023,30.382,85116,24
68.7621,19.1459,11.7046,37.8756,0.0359879,30.8865,84848,24
68.1034,19.9071,10.1316,38.03,0.0347061,30.0734,84640,24
67.4015,20.0093,10.8541,36.5016,0.0365067,30.8999,84614,24
67.0185,19.078,10.4819,37.4199,0.0387039,29.5986,84566,24
67.1058,19.6067,10.2559,37.2084,0.0347977,29.8974,84824,24
82.5591,19.6314,16.9787,45.8722,0.0768051,36.6869,84638,24
68.5564,21.4688,9.98,37.0732,0.0343933,31.4832,84450,24
66.8106,19.3548,9.8251,37.5944,0.0363007,29.2162,84242,24
66.5932,19.5638,10.1283,36.8623,0.0388031,29.7309,84256,24
65.433,18.7284,9.7378,36.9289,0.0379028,28.5041,84100,24
66.067,18.9964,9.9386,37.0968,0.035202,28.9702,83924,24
65.6903,18.6916,9.7388,37.2263,0.0335999,28.464,83702,24
66.3843,18.7867,9.4309,38.1325,0.0342026,28.2518,83684,24
64.6522,18.6667,9.647,36.3039,0.0345993,28.3483,83666,24
64.9011,18.6932,9.3939,36.7794,0.0345993,28.1217,83358,24
64.9365,18.9319,9.5743,36.3958,0.0345001,28.5407,83240,24
64.4544,18.9398,9.3015,36.1791,0.0339966,28.2753,83288,24
65.7632,19.8072,9.172,36.7527,0.0312958,29.0105,83232,24
64.911,19.5064,9.027,36.3286,0.0490036,28.5824,83232,24
63.8997,18.8497,9.1218,35.8955,0.0326996,28.0042,83004,24
64.4886,18.5346,9.8553,36.0656,0.0330963,28.423,82784,24
64.6028,18.6656,9.7633,36.1411,0.0327988,28.4617,82784,24
64.1122,18.5263,9.5363,36.0152,0.0343933,28.097,82860,24
69.1515,18.7731,13.8018,36.5414,0.035202,32.6101,82964,24
64.3309,18.8606,9.3718,36.0653,0.0332031,28.2656,82908,24
72.8103,18.5027,9.3424,44.9277,0.0375061,27.8826,82620,24
78.5045,31.6307,11.2488,35.5907,0.0342941,42.9138,82508,24
63.6835,18.3004,9.335,36.0133,0.0347977,27.6702,82408,24
63.2591,18.1025,9.0734,36.0494,0.033802,27.2097,82156,24
66.5075,19.2928,8.7827,38.3969,0.0351028,28.1106,82016,24
62.6708,18.1503,8.8821,35.6048,0.0335999,27.066,81624,24
67.909,18.4045,9.0174,40.4505,0.0365982,27.4585,81154,24
63.5788,18.4787,8.805,36.2618,0.0332985,27.317,81040,24
69.4129,25.371,8.6877,35.3197,0.0344925,34.0932,80952,24
63.0051,18.8107,8.9353,35.2257,0.0334015,27.7794,80850,24
63.0559,18.0877,8.9265,36.0059,0.0357971,27.05,80696,24
62.8628,18.3713,8.9199,35.5376,0.0340004,27.3252,80580,24
62.1752,18.4562,8.6414,35.0296,0.0480042,27.1456,80342,24
63.2026,19.2461,8.905,35.0183,0.0331993,28.1843,79278,24
63.4823,18.8453,9.0796,35.5227,0.0346985,27.9596,79252,24
61.8641,18.401,8.5601,34.8696,0.0334053,26.9945,78574,24
61.6826,18.3241,8.324,34.9882,0.0462952,26.6944,78302,24
61.6358,18.3843,8.401,34.8172,0.0332985,26.8186,77956,24
62.4754,18.2977,9.1395,35.0009,0.0372963,27.4745,77940,24
62.5443,18.0685,8.5521,35.8907,0.0329971,26.6536,77772,24
61.2,17.9453,8.5637,34.6582,0.0328026,26.5418,77662,24
62.6514,18.1303,9.4971,34.9901,0.0339012,27.6613,77390,24
61.9424,18.3261,8.5787,35.0024,0.035202,26.94,77686,24
61.9111,17.9666,8.8302,35.08,0.0342979,26.8311,77880,24
61.5893,17.9464,8.4668,35.144,0.0320969,26.4453,78032,24
63.4862,18.2808,8.2322,36.9395,0.033699,26.5467,77224,24
61.6403,17.9933,8.4513,35.1621,0.0335999,26.4782,77352,24
62.2717,17.8772,8.045,36.2998,0.0497017,25.9719,77504,24
63.6932,18.7307,7.9947,36.9315,0.0363007,26.7617,77050,24
62.9108,19.0826,8.3131,35.4805,0.0346031,27.4303,77080,24
61.0045,18.0448,8.4166,34.5096,0.0335007,26.4949,77360,24
60.446,17.8852,8.1299,34.3985,0.032402,26.0475,77704,24
61.0011,17.9669,8.3462,34.6477,0.0402985,26.3534,78396,24
62.3416,18.6586,8.6663,34.9838,0.0328979,27.3578,78608,24
