total_ms,build_ms,submit_ms,present_ms,other_ms,work_ms,vertices,draw_cmds
76.3055,1.48,2.4825,72.3207,0.0223007,3.9848,8024,23
74.2185,1.5437,1.2643,71.3919,0.0185928,2.82659,8176,25
75.4512,1.6676,2.4218,71.3425,0.0193024,4.1087,8176,25
74.7702,1.5212,1.1879,72.0416,0.0195007,2.7286,8176,25
77.7246,1.8297,2.255,73.6192,0.0206985,4.1054,8176,25
73.5069,1.5245,1.2156,70.7479,0.018898,2.759,8176,25
75.9006,2.4557,1.319,72.1051,0.0207977,3.79549,8176,25
73.913,1.4846,1.2219,71.1881,0.0184097,2.72491,8176,25
75.2673,2.4571,1.3098,71.48,0.0203934,3.78729,8176,25
74.6369,1.5059,1.2258,71.8871,0.0180969,2.74979,8176,25
75.6079,2.5809,1.3047,71.7012,0.0211029,3.9067,8176,25
74.5671,1.4997,1.243,71.8027,0.021698,2.7644,8176,25
75.9047,2.7151,1.3953,71.7722,0.0221024,4.1325,8176,25
74.2214,1.512,1.2569,71.4316,0.0208969,2.78979,8176,25
76.535,2.8325,1.429,72.2531,0.020401,4.2819,8176,25
75.0431,1.7175,1.2401,72.0652,0.0203018,2.97791,8176,25
74.9503,1.7939,1.2561,71.8829,0.0174026,3.06741,8176,25
77.552,1.4511,1.1859,74.8939,0.0210953,2.6581,8176,25
74.5776,1.6073,1.2238,71.727,0.0195007,2.8506,8176,25
74.6717,1.4644,1.2286,71.9587,0.0199966,2.713,8176,25
75.4824,1.5213,1.6085,72.3331,0.0194931,3.14929,8176,25
74.704,1.4611,1.1631,72.0616,0.0182037,2.6424,8176,25
75.159,1.5763,1.2037,72.3591,0.0198975,2.7999,8176,25
74.5907,1.4903,1.2064,71.8739,0.0201035,2.7168,8176,25
74.4601,1.5539,1.3987,71.4871,0.0203934,2.97299,8176,25
75.3713,1.4791,1.3155,72.5573,0.0194016,2.814,8176,25
74.5146,1.4733,1.3697,71.6516,0.0199966,2.863,8176,25
75.9774,1.4827,1.2087,73.2668,0.0192032,2.7106,8176,25
74.0893,1.6095,1.1858,71.2759,0.0180893,2.81339,8176,25
74.6751,1.4434,1.1787,72.0349,0.0181046,2.64021,8176,25
76.5337,1.4484,1.6194,73.4458,0.0200958,3.0879,8176,25
75.1943,1.4704,1.2579,72.4453,0.0207062,2.74901,8176,25
74.3277,1.581,1.2387,71.478,0.0299988,2.8497,8176,25
75.7141,1.582,1.2164,72.8961,0.0195999,2.818,8176,25
75.7615,2.0098,1.2941,72.4403,0.0172958,3.3212,8176,25
74.6854,1.4632,1.2084,71.9958,0.0180054,2.68961,8176,25
75.9734,1.5738,1.1813,73.197,0.0213013,2.7764,8176,25
75.4321,1.4768,1.2439,72.6909,0.0205002,2.7412,8176,25
74.4216,1.4766,1.252,71.6729,0.0201035,2.7487,8176,25
74.7803,1.4824,1.2119,72.0643,0.0217056,2.716,8176,25
75.2557,1.4594,1.2241,72.5535,0.018692,2.70219,8176,25
75.8873,1.5232,1.24,73.106,0.0180969,2.7813,8176,25
73.899,1.5159,1.1917,71.1733,0.0181046,2.72571,8176,25
77.2801,1.4582,1.1694,74.6306,0.0218964,2.6495,8176,25
75.2097,1.5466,1.2899,72.3529,0.0202942,2.8568,8176,25
75.5975,2.5864,1.3158,71.6767,0.0186005,3.9208,8176,25
74.48,1.4946,1.2113,71.7536,0.0205002,2.7264,8176,25
75.884,2.9265,1.3381,71.6019,0.0174942,4.2821,8176,25
74.0524,1.4862,1.1855,71.3622,0.0185013,2.6902,8176,25
75.0656,2.4057,1.2406,71.3979,0.0213928,3.66769,8176,25
74.1726,1.6213,1.2321,71.3009,0.0183029,2.8717,8176,25
75.7128,1.4775,2.5194,71.6946,0.0212936,4.0182,8176,25
74.6739,1.5114,1.233,71.9087,0.0207977,2.7652,8176,25
77.3908,2.0299,1.9706,73.3679,0.0223923,4.0229,8176,25
75.7139,1.5093,1.3759,72.8074,0.0213013,2.9065,8176,25
74.52,1.566,1.3782,71.5567,0.0190964,2.96329,8176,25
73.6393,1.4756,1.2015,70.9418,0.0203934,2.69749,8176,25
76.9506,2.3965,1.3058,73.2284,0.0198975,3.7222,8176,25
75.1925,1.4968,1.3165,72.3588,0.0203934,2.83369,8176,25
75.933,1.4964,1.5751,72.8377,0.0238037,3.09531,8176,25
75.8623,1.5178,1.3025,73.0222,0.0198059,2.8401,8176,25
74.5735,1.6087,1.2588,71.6876,0.0184021,2.8859,8176,25
75.0805,1.4717,1.2326,72.3566,0.0195999,2.7239,8176,25
74.1092,1.6089,1.1954,71.285,0.0198975,2.8242,8176,25
75.0737,1.4951,1.2842,72.2747,0.0196915,2.79899,8176,25
74.5157,1.4781,1.3602,71.6571,0.0202866,2.85859,8176,25
74.2038,1.4746,1.1975,71.5105,0.0211945,2.6933,8176,25
75.3593,1.8284,1.2204,72.2928,0.0177002,3.0665,8176,25
74.2067,1.4273,1.1674,71.5919,0.0201035,2.6148,8176,25
75.3234,1.717,1.1867,72.4028,0.0168991,2.9206,8176,25
76.1995,1.4273,1.1859,73.5663,0.0199966,2.63319,8176,25
74.8176,1.4407,1.3803,71.9765,0.0201035,2.8411,8176,25
75.7922,1.4959,1.2155,73.0614,0.0193939,2.7308,8176,25
74.2772,1.5163,1.2892,71.4526,0.0190964,2.8246,8176,25
74.7599,1.527,1.2035,72.0107,0.0186996,2.7492,8176,25
74.4779,1.4579,1.3465,71.6554,0.0181046,2.8225,8176,25
73.3397,1.5671,1.1641,70.5897,0.0187988,2.75,8176,25
75.4735,2.5293,1.319,71.6065,0.0187073,3.867,8176,25
78.7476,1.4656,1.1873,76.0726,0.0220947,2.675,8176,25
74.6118,1.6195,1.2646,71.7087,0.0189972,2.9031,8176,25
74.4959,1.4587,1.2196,71.7989,0.0187073,2.69701,8176,25
75.7299,1.583,1.2215,72.9031,0.0223007,2.8268,8176,25
76.2288,1.5192,1.2324,73.4579,0.0192947,2.7709,8176,25
75.2392,1.5056,1.2103,72.5039,0.0193939,2.73529,8176,25
78.7283,1.4647,1.2204,76.021,0.0222015,2.7073,8176,25
75.971,1.5399,1.2754,73.128,0.0277023,2.843,8176,25
74.6412,1.496,1.4495,71.673,0.0226974,2.9682,8176,25
76.1654,1.5178,1.2452,73.3833,0.019104,2.7821,8176,25
74.819,1.5766,1.3789,71.8447,0.0187988,2.9743,8176,25
74.3208,1.4816,1.1874,71.6337,0.0181046,2.6871,8176,25
74.703,1.4657,1.2752,71.9406,0.0215073,2.76241,8176,25
82.4428,1.5278,1.2155,79.6794,0.0201035,2.7634,8176,25
76.1884,1.5045,1.2483,73.415,0.0205994,2.7734,8176,25
75.2877,1.5019,1.2848,72.4797,0.0213013,2.808,8176,25
74.7195,1.507,1.2179,71.9742,0.0204086,2.74531,8176,25
74.3511,1.5533,1.2047,71.574,0.019104,2.77711,8176,25
